"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"MAP_2489",24.0254156586006,0.970074141440503,0.284968844030754,3.40414105527905,0.000663724692576725,0.0012674286271768,0.970074141440503,1.95894126440136
"MAP_0571",48.4668898905963,-1.13567902718973,0.333650694541496,-3.40379638277205,0.000664562725317477,0.00126847207333525,1.13567902718973,-2.19721954029468
"MAP_2326",455.729717733843,0.604966720025338,0.178048274480972,3.3977679468609,0.000679380209557617,0.00129618592612966,0.604966720025338,1.52094366782856
"MAP_4128",150.291977344103,0.712367002996247,0.210285482721017,3.3876185544455,0.000705022401915214,0.00134216518526529,0.712367002996247,1.6384901534541
"MAP_1610",14.1067266296402,1.52235405604668,0.449549831327386,3.3863966794329,0.000708169374333722,0.00134756639472952,1.52235405604668,2.87259390649558
"MAP_3592",41.2637461016173,1.02587504627258,0.303021439748281,3.385486674226,0.000710521592563138,0.00135145121453854,1.02587504627258,2.03619403443079
"MAP_4082",25.9955052722629,-1.48830662646502,0.440180219870005,-3.38113018096213,0.000721883333646169,0.00137186216747961,1.48830662646502,-2.80559473136614
"MAP_2220",65.8632343972248,-0.853789532071219,0.252966975352815,-3.37510274169358,0.000737881378675094,0.00140042931816608,0.853789532071219,-1.80724178434781
"MAP_4263",76.5014093446261,0.90438352307942,0.267967540132441,3.37497415781193,0.000738226226465259,0.00140047278025464,0.90438352307942,1.87174451023776
"MAP_1432",116.493102429437,-0.742932498172629,0.220162409253027,-3.37447478292626,0.000739566914870666,0.00140240456830314,0.742932498172629,-1.67357417917246
"MAP_2870",116.29741925729,0.652508632364505,0.193618194259397,3.3700791129697,0.000751466057214462,0.00142434742870715,0.652508632364505,1.57189911983438
"MAP_4118c",213.183155554226,0.683267869815581,0.202862440973386,3.36813392630536,0.000756788243270474,0.00143381047832167,0.683267869815581,1.60577289875899
"MAP_1417c",1000.38493635511,-1.81882388821513,0.540065484772062,-3.36778398083109,0.000757749428923078,0.00143422010872413,1.81882388821513,-3.5279347746103
"MAP_2747",110.40186423979,-0.683508598237715,0.203010819128119,-3.36685798901366,0.000760298296331954,0.00143795547349739,0.683508598237715,-1.606040860745
"MAP_0253",215.975735850255,-0.675796394931089,0.200891251264535,-3.36399116774476,0.000768240017393966,0.00145171332565758,0.675796394931089,-1.5974783676154
"MAP_1808c",165.183160372716,0.760785767860753,0.226197343401872,3.36337180808135,0.000769965865144827,0.00145434281953105,0.760785767860753,1.69441324032683
"MAP_0798",84.5272128492557,-0.711340680188373,0.211615748498668,-3.36147326101702,0.000775278626420669,0.00146310716916699,0.711340680188373,-1.63732495792555
"MAP_1822c",159.441971599789,0.603350454322426,0.179747208089434,3.35666106158503,0.000788897573536424,0.00148751818157063,0.603350454322426,1.51924069351293
"MAP_0063",312.042988079503,0.597269358194804,0.178410862968,3.34771856521948,0.000814797096484012,0.00153502268068664,0.597269358194804,1.51285042746496
"MAP_4031",95.1032942505352,0.790196175561271,0.236134310658592,3.34638440876029,0.000818728069889629,0.00154176065109086,0.790196175561271,1.72930959561801
"MAP_3562",104.488936870321,-0.711023210926502,0.212499161658544,-3.3460047812754,0.000819849819976926,0.00154320498351347,0.711023210926502,-1.6369646994208
"MAP_0553",129.554259862732,-0.625560388745721,0.187352902743634,-3.3389415353853,0.000840982620652665,0.0015809310284525,0.625560388745721,-1.54280998561577
"MAP_3584",14.496469627447,-1.93634184836535,0.581014334093654,-3.33269204345177,0.000860100877816296,0.00161547444667568,1.93634184836535,-3.82733941771633
"MAP_1084c",71.5342256626583,1.14043184100869,0.342212715726085,3.33252327748546,0.000860622706827495,0.00161575691614139,1.14043184100869,2.20446999563673
"MAP_0941",23.1721594301163,-1.43801434497989,0.431662075464296,-3.33134279501658,0.000864281007932551,0.001621225694052,1.43801434497989,-2.70947689565968
"MAP_0577",87.8901349534558,-0.681223923662085,0.204511197609436,-3.33098593927873,0.000865389734682591,0.00162260575252986,0.681223923662085,-1.60349952194106
"MAP_2739",70.9971376499778,0.629548752732876,0.189174319758694,3.32787639218638,0.000875106853260594,0.00163941206360189,0.629548752732876,1.54708102066328
"MAP_2573",59.7753459051374,1.03055050423273,0.309874693496216,3.3257007618317,0.000881965589716185,0.00165083920622436,1.03055050423273,2.04280359664304
"MAP_1481c",6846.47727543263,-0.917520833768252,0.275959149820101,-3.32484295000325,0.000884683537920795,0.00165521436127117,0.917520833768252,-1.88886662338624
"MAP_0978c",191.85314976193,0.677283377297356,0.203810218388161,3.32310804950641,0.00089020426012774,0.001664827399637,0.677283377297356,1.5991257336127
"MAP_1470c",542.198606066753,0.800957605848426,0.241607587443833,3.3151177672954,0.000916045234917694,0.00171168246215291,0.800957605848426,1.74225718663124
"MAP_1191",275.092097987715,0.642446218119975,0.193889295422094,3.31346924914745,0.000921462391813423,0.00171989786379176,0.642446218119975,1.56097368678502
"MAP_3008c",113.38509555662,0.614797873031749,0.18554788142989,3.31341898540648,0.000921628027700826,0.00171989786379176,0.614797873031749,1.5313434351246
"MAP_0959",24.1799359588666,-1.43260924541628,0.43311602511519,-3.30768007264398,0.000940722106569591,0.00175477751439868,1.43260924541628,-2.69934475251612
